<SemiconductorModuleTests>																		
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ComparisonType>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	<TestDataSource>	<ExportLocation>		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_20	6133				LOG		Ohm	Numeric Limit		RF4_PI_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_21	6134				LOG		Ohm	Numeric Limit		RF4_PI_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_22	6135				LOG		Ohm	Numeric Limit		RF4_PI_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_23	6136				LOG		Ohm	Numeric Limit		RF4_PI_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_24	6137				LOG		Ohm	Numeric Limit		RF4_PI_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_25	6138				LOG		Ohm	Numeric Limit		RF4_PI_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_26	6139				LOG		Ohm	Numeric Limit		RF4_PI_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_27	6140				LOG		Ohm	Numeric Limit		RF4_PI_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_28	6141				LOG		Ohm	Numeric Limit		RF4_PI_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_29	6142				LOG		Ohm	Numeric Limit		RF4_PI_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_30	6143				LOG		Ohm	Numeric Limit		RF4_PI_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_31	6144				LOG		Ohm	Numeric Limit		RF4_PI_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_32	6145				LOG		Ohm	Numeric Limit		RF4_PI_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_33	6146				LOG		Ohm	Numeric Limit		RF4_PI_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_34	6147				LOG		Ohm	Numeric Limit		RF4_PI_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_35	6148				LOG		Ohm	Numeric Limit		RF4_PI_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_36	6149				LOG		Ohm	Numeric Limit		RF4_PI_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_37	6150				LOG		Ohm	Numeric Limit		RF4_PI_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_38	6151				LOG		Ohm	Numeric Limit		RF4_PI_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_39	6152				LOG		Ohm	Numeric Limit		RF4_PI_39		Locals.R4_R39		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_40	6153				LOG		Ohm	Numeric Limit		RF4_PI_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_PI_41	6154				LOG		Ohm	Numeric Limit		RF4_PI_41		Locals.R4_R41		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_40	6155				LOG		Ohm	Numeric Limit		RF4_RL_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_39	6156				LOG		Ohm	Numeric Limit		RF4_RL_39				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_38	6157				LOG		Ohm	Numeric Limit		RF4_RL_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_37	6158				LOG		Ohm	Numeric Limit		RF4_RL_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_36	6159				LOG		Ohm	Numeric Limit		RF4_RL_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_35	6160				LOG		Ohm	Numeric Limit		RF4_RL_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_34	6161				LOG		Ohm	Numeric Limit		RF4_RL_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_33	6162				LOG		Ohm	Numeric Limit		RF4_RL_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_32	6163				LOG		Ohm	Numeric Limit		RF4_RL_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_31	6164				LOG		Ohm	Numeric Limit		RF4_RL_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_30	6165				LOG		Ohm	Numeric Limit		RF4_RL_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_29	6166				LOG		Ohm	Numeric Limit		RF4_RL_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_28	6167				LOG		Ohm	Numeric Limit		RF4_RL_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_27	6168				LOG		Ohm	Numeric Limit		RF4_RL_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_26	6169				LOG		Ohm	Numeric Limit		RF4_RL_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_25	6170				LOG		Ohm	Numeric Limit		RF4_RL_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_24	6171				LOG		Ohm	Numeric Limit		RF4_RL_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_23	6172				LOG		Ohm	Numeric Limit		RF4_RL_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_22	6173				LOG		Ohm	Numeric Limit		RF4_RL_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_21	6174				LOG		Ohm	Numeric Limit		RF4_RL_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_RL_20	6175				LOG		Ohm	Numeric Limit		RF4_RL_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_Free_Last	6176				LOG		Ohm	Numeric Limit		RF4_RL_0				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_VPI	6177				LOG		V	Numeric Limit		RF1_VPI0		Locals.R1_VPI		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_VRL	6178				LOG		V	Numeric Limit		RF1_VRL0		Locals.R1_VRL		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_VPI1	6179				LOG		V	Numeric Limit		RF1_VPI1		Locals.R1_VPI1		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_VRL1	6180				LOG		V	Numeric Limit		RF1_VRL1		Locals.R1_VRL1		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_VPI	6181				LOG		V	Numeric Limit		RF2_VPI0		Locals.R2_VPI		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_VRL	6182				LOG		V	Numeric Limit		RF2_VRL0		Locals.R2_VRL		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_VPI1	6183				LOG		V	Numeric Limit		RF2_VPI1		Locals.R2_VPI1		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_VRL1	6184				LOG		V	Numeric Limit		RF2_VRL1		Locals.R2_VRL1		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_VPI	6185				LOG		V	Numeric Limit		RF3_VPI0		Locals.R3_VPI		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_VRL	6186				LOG		V	Numeric Limit		RF3_VRL0		Locals.R3_VRL		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_VPI1	6187				LOG		V	Numeric Limit		RF3_VPI1		Locals.R3_VPI1		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_VRL1	6188				LOG		V	Numeric Limit		RF3_VRL1		Locals.R3_VRL1		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_VPI	6189				LOG		V	Numeric Limit		RF4_VPI0		Locals.R4_VPI		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_VRL	6190				LOG		V	Numeric Limit		RF4_VRL0		Locals.R4_VRL		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_VPI1	6191				LOG		V	Numeric Limit		RF4_VPI1		Locals.R4_VPI1		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4_VRL1	6192				LOG		V	Numeric Limit		RF4_VRL1		Locals.R4_VRL1		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	DVR1_PI	6193				LOG		V	Numeric Limit			Locals.R1_VPI1-Locals.R1_VPI			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	DVR1_RL	6194				LOG		V	Numeric Limit			Locals.R1_VRL1-Locals.R1_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	DVR2_PI	6195				LOG		V	Numeric Limit			Locals.R2_VPI1-Locals.R2_VPI			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	DVR2_RL	6196				LOG		V	Numeric Limit			Locals.R2_VRL1-Locals.R2_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	DVR3_PI	6197				LOG		V	Numeric Limit			Locals.R3_VPI1-Locals.R3_VPI			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	DVR3_RL	6198				LOG		V	Numeric Limit			Locals.R3_VRL1-Locals.R3_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	DVR4_PI	6199				LOG		V	Numeric Limit			Locals.R4_VPI1-Locals.R4_VPI			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	DVR4_RL	6200				LOG		V	Numeric Limit			Locals.R4_VRL1-Locals.R4_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1hyst	6201				LOG		V	Numeric Limit			Locals.R1_VPI - Locals.R1_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1sat	6202				LOG	m	Ohm	Numeric Limit			Locals.R1_R41 - Locals.R1_R39 			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2hyst	6203				LOG		V	Numeric Limit			Locals.R2_VPI - Locals.R2_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2sat	6204				LOG	m	Ohm	Numeric Limit			Locals.R2_R41 - Locals.R2_R39 			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3hyst	6205				LOG		V	Numeric Limit			Locals.R3_VPI - Locals.R3_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3sat	6206				LOG	m	Ohm	Numeric Limit			Locals.R3_R41 - Locals.R3_R39 			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4hyst	6207				LOG		V	Numeric Limit			Locals.R4_VPI - Locals.R4_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R4sat	6208				LOG	m	Ohm	Numeric Limit			Locals.R4_R41 - Locals.R4_R39 			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_20	6209	Cap1			LOG		pF	Numeric Limit		C_PI_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_21	6210	Cap1			LOG		pF	Numeric Limit		C_PI_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_22	6211	Cap1			LOG		pF	Numeric Limit		C_PI_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_23	6212	Cap1			LOG		pF	Numeric Limit		C_PI_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_24	6213	Cap1			LOG		pF	Numeric Limit		C_PI_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_25	6214	Cap1			LOG		pF	Numeric Limit		C_PI_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_26	6215	Cap1			LOG		pF	Numeric Limit		C_PI_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_27	6216	Cap1			LOG		pF	Numeric Limit		C_PI_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_28	6217	Cap1			LOG		pF	Numeric Limit		C_PI_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_29	6218	Cap1			LOG		pF	Numeric Limit		C_PI_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_30	6219	Cap1			LOG		pF	Numeric Limit		C_PI_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_31	6220	Cap1			LOG		pF	Numeric Limit		C_PI_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_32	6221	Cap1			LOG		pF	Numeric Limit		C_PI_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_33	6222	Cap1			LOG		pF	Numeric Limit		C_PI_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_34	6223	Cap1			LOG		pF	Numeric Limit		C_PI_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_35	6224	Cap1			LOG		pF	Numeric Limit		C_PI_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_36	6225	Cap1			LOG		pF	Numeric Limit		C_PI_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_37	6226	Cap1			LOG		pF	Numeric Limit		C_PI_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_38	6227	Cap1			LOG		pF	Numeric Limit		C_PI_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_39	6228	Cap1			LOG		pF	Numeric Limit		C_PI_39		Locals.C39		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_40	6229	Cap1			LOG		pF	Numeric Limit		C_PI_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_PI_41	6230	Cap1			LOG		pF	Numeric Limit		C_PI_41		Locals.C41		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_40	6231	Cap1			LOG		pF	Numeric Limit		C_RL_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_39	6232	Cap1			LOG		pF	Numeric Limit		C_RL_39				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_38	6233	Cap1			LOG		pF	Numeric Limit		C_RL_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_37	6234	Cap1			LOG		pF	Numeric Limit		C_RL_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_36	6235	Cap1			LOG		pF	Numeric Limit		C_RL_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_35	6236	Cap1			LOG		pF	Numeric Limit		C_RL_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_34	6237	Cap1			LOG		pF	Numeric Limit		C_RL_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_33	6238	Cap1			LOG		pF	Numeric Limit		C_RL_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_32	6239	Cap1			LOG		pF	Numeric Limit		C_RL_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_31	6240	Cap1			LOG		pF	Numeric Limit		C_RL_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_30	6241	Cap1			LOG		pF	Numeric Limit		C_RL_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_29	6242	Cap1			LOG		pF	Numeric Limit		C_RL_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_28	6243	Cap1			LOG		pF	Numeric Limit		C_RL_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_27	6244	Cap1			LOG		pF	Numeric Limit		C_RL_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_26	6245	Cap1			LOG		pF	Numeric Limit		C_RL_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_25	6246	Cap1			LOG		pF	Numeric Limit		C_RL_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_24	6247	Cap1			LOG		pF	Numeric Limit		C_RL_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_23	6248	Cap1			LOG		pF	Numeric Limit		C_RL_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_22	6249	Cap1			LOG		pF	Numeric Limit		C_RL_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_21	6250	Cap1			LOG		pF	Numeric Limit		C_RL_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_RL_20	6251	Cap1			LOG		pF	Numeric Limit		C_RL_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_Free_Last	6252	Cap1			LOG		pF	Numeric Limit		C_RL_0				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_VPI	6253	Cap1			LOG		V	Numeric Limit		C_VPI		Locals.C_VPI		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	C_VRL	6254	Cap1			LOG		V	Numeric Limit		C_VRL		Locals.C_VRL		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	Chyst	6255				LOG		V	Numeric Limit			Locals.C_VPI - Locals.C_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	Csat	6256				LOG	m	pF	Numeric Limit			Locals.C41 - Locals.C39			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	T1N4A_PI	6257				LOG		V	Numeric Limit			Locals.R1_VPI - Locals.C_VPI			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	T1N4A_RL	6258				LOG		V	Numeric Limit			Locals.R1_VRL - Locals.C_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	T2N4A_PI	6259				LOG		V	Numeric Limit			Locals.R2_VPI - Locals.C_VPI			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	T2N4A_RL	6260				LOG		V	Numeric Limit			Locals.R2_VRL - Locals.C_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	T3N4A_PI	6261				LOG		V	Numeric Limit			Locals.R3_VPI - Locals.C_VPI			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	T3N4A_RL	6262				LOG		V	Numeric Limit			Locals.R3_VRL - Locals.C_VRL			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	T4N4A_PI	6263				LOG		V	Numeric Limit			Locals.R4_VPI - Locals.C_VPI			
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	T4N4A_RL	6264				LOG		V	Numeric Limit			Locals.R4_VRL - Locals.C_VRL			
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_25	7001	Cap1			LOG		pF	Numeric Limit		C_PI_25				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_26	7002	Cap1			LOG		pF	Numeric Limit		C_PI_26				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_27	7003	Cap1			LOG		pF	Numeric Limit		C_PI_27				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_28	7004	Cap1			LOG		pF	Numeric Limit		C_PI_28				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_29	7005	Cap1			LOG		pF	Numeric Limit		C_PI_29				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_30	7006	Cap1			LOG		pF	Numeric Limit		C_PI_30				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_31	7007	Cap1			LOG		pF	Numeric Limit		C_PI_31				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_32	7008	Cap1			LOG		pF	Numeric Limit		C_PI_32				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_33	7009	Cap1			LOG		pF	Numeric Limit		C_PI_33				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_34	7010	Cap1			LOG		pF	Numeric Limit		C_PI_34				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_35	7011	Cap1			LOG		pF	Numeric Limit		C_PI_35				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_36	7012	Cap1			LOG		pF	Numeric Limit		C_PI_36				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_37	7013	Cap1			LOG		pF	Numeric Limit		C_PI_37				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_38	7014	Cap1			LOG		pF	Numeric Limit		C_PI_38				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_39	7015	Cap1			LOG		pF	Numeric Limit		C_PI_39		Locals.C39		
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_40	7016	Cap1			LOG		pF	Numeric Limit		C_PI_40				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_41	7017	Cap1			LOG		pF	Numeric Limit		C_PI_41		Locals.C41		
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_42	7018	Cap1			LOG		pF	Numeric Limit		C_PI_42				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_43	7019	Cap1			LOG		pF	Numeric Limit		C_PI_43				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_44	7020	Cap1			LOG		pF	Numeric Limit		C_PI_44				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_PI_45	7021	Cap1			LOG		pF	Numeric Limit		C_PI_45				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_44	7022	Cap1			LOG		pF	Numeric Limit		C_RL_44				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_43	7023	Cap1			LOG		pF	Numeric Limit		C_RL_43				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_42	7024	Cap1			LOG		pF	Numeric Limit		C_RL_42				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_41	7025	Cap1			LOG		pF	Numeric Limit		C_RL_41				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_40	7026	Cap1			LOG		pF	Numeric Limit		C_RL_40				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_39	7027	Cap1			LOG		pF	Numeric Limit		C_RL_39				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_38	7028	Cap1			LOG		pF	Numeric Limit		C_RL_38				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_37	7029	Cap1			LOG		pF	Numeric Limit		C_RL_37				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_36	7030	Cap1			LOG		pF	Numeric Limit		C_RL_36				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_35	7031	Cap1			LOG		pF	Numeric Limit		C_RL_35				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_34	7032	Cap1			LOG		pF	Numeric Limit		C_RL_34				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_33	7033	Cap1			LOG		pF	Numeric Limit		C_RL_33				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_32	7034	Cap1			LOG		pF	Numeric Limit		C_RL_32				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_31	7035	Cap1			LOG		pF	Numeric Limit		C_RL_31				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_30	7036	Cap1			LOG		pF	Numeric Limit		C_RL_30				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_29	7037	Cap1			LOG		pF	Numeric Limit		C_RL_29				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_28	7038	Cap1			LOG		pF	Numeric Limit		C_RL_28				
	MainSequence	BFUp	ID#:aZr6VtquHkSdJ3AoBMUuHB	T_C_RL_27	7039	Cap1			LOG		pF	Numeric Limit		C_RL_27				
